Title,Company,DeadlineHoSo,Salary,Quantity,Hthuc,CapBac,GioiTinh,KinhNghiem,DiaChi,Skill,JobData
Nhân Viên Thiết Kế,TNHH CÔNG NGHỆ SMO," Hạn nộp hồ sơ: 15/01/2023
","
Trên 10 triệu
",2 người,Toàn thời gian,Nhân viên,Nam,2 năm,"Nghệ An,TP Vinh","CSS,HTML,Photoshop,Graphic design,Adobe Illustrator","Thực hiện thiết kế Website theo yêu cầu của khách hàng,Chuyển đổi Design to Html,CSS,Thiết kế banner, quảng cáo cho công ty,- Tốt nghiệp cao đẳng trở lên,- Đọc và hiểu tài liệu tiếng anh (là lợi thế),- Có kinh nghiệm ít nhất 1 năm trong lĩnh vực thiết kế Web,- Biết chuyển đổi Design to Html, CSS,- Được cấp máy tính bàn để làm việc,- Thưởng dự án, chuyên cấn, lễ , Tết,- Nghỉ chiều thứ 7 và các ngày chủ nhật,- Chế độ BHXH theo quy định"
PHP Developer,Công ty TNHH phần mềm Kaopiz," Hạn nộp hồ sơ: 15/01/2023
","
15-25 triệu
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,, 
Quản Trị Website,CÔNG TY TNHH TM – DV ASIA VACATION GROUP," Hạn nộp hồ sơ: 31/01/2023
","
9-12 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,"IT Helpdesk,Photoshop,Biên tập Video,SEO/SEM","• Làm mới, cập nhật nội dung, hình ảnh đáp ứng nhu cầu thẩm mỹ, chất lượng trên các web; fix lỗi (nếu có),• Theo dõi các báo cáo, các chỉ số, thống kê website và đề xuất giải pháp tăng traffic cho website; ,• Tối ưu các chỉ số SEO, tổng hơp/viết bài SEO cho các web,• Kiểm tra, xử lý các sự cố, đề xuất bảo trì các thiết bị máy tính, máy in, scan, chấm công, camera, hệ thống mạng,… đảm bảo vận hành ổn định; sao lưu và khôi phục dữ liệu khi cần;,• Cùng team marketing xử lý hình ảnh/video/ nội dung trên kênh truyền thông, social media: FB, instagram, tiktok, zalo…,• Đề xuất các giải pháp, công nghệ mới thay thế mang lại hiệu quả trong công việc,• Thực hiện một số công việc khác theo yêu cầu của Ban giám đốc."
Mobile Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ SANDBOXVN," Hạn nộp hồ sơ: 31/01/2023
","
15-22 triệu
",2 người,Toàn thời gian,Nhân viên,Nam,1 năm,"Hà Nội,Cầu Giấy","Redux,React Native,TypeScript","- Tham gia phát triển và xây dựng các sản phẩm dựa trên nền React Native,- Tìm hiểu công nghệ, xây dựng mới và phát triển tính năng hiện tại của dự án,- Nâng cấp, phát triển tính năng theo yêu cầu của khách hàng,- Quản lý và bảo trì các ứng dụng đảm bảo chất lượng.,- Đảm bảo tiến độ, chất lượng công việc và báo cáo thường xuyên tới quản lý.,- Thực hiện một số công việc khác khi có yêu cầu của cấp trên.,- Có ít nhất 2 năm kinh nghiệm phát triển cross-platform trên React Native framework,- Nắm vững JavaScript/ES cơ bản,- Nắm vững cách làm việc với Redux,- Nắm vững cách sử dụng git,- Ưu tiên các bạn có kiến thức về Native (Android/iOS),- Nắm được cách giao tiếp với API cơ bản,- Nhiệt tình trong công việc, trao đổi và học hỏi"
IOS Developer,CÔNG TY TNHH DỊCH VỤ ĐA PHƯƠNG TIỆN VÀ CÔNG NGHỆ BEETECH," Hạn nộp hồ sơ: 31/01/2023
","
Tới 45 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,3 năm,"Hà Nội,Thanh Xuân","iOS,Objective-C,Swift,Leadership","Tham gia thực hiện thiết kế, xây dựng và triển khai ứng dụng, sản phẩm trên smartphone của công ty.,Phát triển các ứng dụng trên nền tảng iOS, cải thiện performance, hiệu quả và mở rộng ứng dụng.,Tham gia phát triển, đề xuất giải pháp kỹ thuật cho các dự án lập trình ứng dụng.,Nghiên cứu, tìm hiểu các công nghệ mới phục vụ các nhu cầu của công ty,Quản lý team phát triển iOS: Quản lý công việc, tiến độ, chất lượng…dự án.,Trình độ Đại học chuyên ngành CNTT hoặc các chứng chỉ tương đương trở lên.,Có , với Swift, iPhone SDK để phát triển ứng dụng smartphone.,Có kinh nghiệm lập trình iOS, đã có kinh nghiệm đưa ứng dụng lên AppStore.,Có kinh nghiệm sử dụng các thư viện và SDK hỗ trợ.,Có kiến thức cơ bản về lập trình, thuật toán, thiết kế hệ thống.,Có kinh nghiệm phát triển sản phẩm (product),Có thể đọc hiểu tài liệu tiếng Anh chuyên ngành.,Đam mê, chủ động công việc, có kỹ năng làm việc nhóm, làm việc độc lập.,Đã từng làm các công việc tương ứng trong dự án với đối tác/ khách hàng Nhật Bản là một điểm cộng.,Mức lương:,Up to 45 triệu + thưởng dự án,Thử việc 100% lương,Cung cấp máy tính và các thiết bị khác phục vụ cho công việc, và gửi xe hàng tháng,Nghỉ thứ 7, chủ nhật,Đóng BHXH sau khi thử việc, hưởng các chế độ phúc lợi theo luật lao động Việt Nam,Điều chỉnh lương 2 lần/năm,Hưởng lương tháng 13,Du lịch 1 năm 1 lần, Team building theo quý, Sinh nhật hàng tháng, Teabreak mỗi tuần, các hoạt động vui chơi giải trí khác như: bóng bàn, bóng đá,...,Tham gia lớp học tiếng Nhật miễn phí và các khoá đào tạo kỹ năng dành cho CBNV công ty,Được làm việc trong môi trường trẻ trung, năng động, chuyên nghiệp theo tiêu chuẩn chất lượng Nhật Bản."
Nhân Viên Kỹ Thuật,"Công Ty TNHH Thương Mại Và Phát Triển Dịch Vụ Kỹ Thuật (ESCOM CO., LTD)"," Hạn nộp hồ sơ: 16/01/2023
","
Trên 7 triệu
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hồ Chí Minh,Quận 1",,"- Tư vấn các thiết bị Viễn thông - CNTT, hỗ trợ nhóm kinh doanh demo thiết bị,- Hỗ trợ kỹ thuật, lắp đặt phần cứng, cài đặt phần mềm CNTT/Viễn thông cho các dự án,- Dịch, viết thuyết minh kỹ thuật thiết bị CNTT khi có yêu cầu.,- Thực hiện các nhiệm vụ khác theo sự phân công của cấp quản lý,- Chuyên ngành công nghệ IT/CNTT/Điện tử - Viễn Thông/Mạng máy tính/ Khoa học máy tính,... hoặc ngành kỹ thuật có liên quan.,- Hiểu biết về thiết bị Viễn thông, CNTT: Switch, Wifi, VoIP,.v.v.,- Ưu tiên đã có kinh nghiệm thực tế lắp đặt, cài đặt các thiết bị IT/CNTT/Viễn thông.,- Có tinh thần phục vụ, trách nhiệm, nhiệt tình trong công việc ,- Khả năng giao tiếp và xử lý tình huống tốt.,- Ưu tiên biết đọc/dịch tài liệu tiếng Anh.,- Mức lương từ 7-12 triệu hoặc thỏa thuận theo năng lực, kinh nghiệm thực tế.,- Thời gian làm việc từ thứ 2- thứ 6 . Nghỉ T7-CN và các ngày lễ, tết.,- Được làm việc trong môi trường dân chủ, cởi mở.,- Có điều kiện khẳng định bản thân, cơ hội thăng tiến theo năng lực, ,- Được hưởng các chế độ, quyền lợi theo luật định (BH XH,YT, TN ...)  ,- Hỗ trợ ăn trưa miễn phí tại văn phòng.,- Thưởng lương tháng 13, các ngày lễ tết , Sinh nhật, Hiếu, Hỷ ... theo quy định công ty.,- Được tham gia du lịch và các hoạt động team building do công ty tổ chức"
Nhân Viên IT,Công ty TNHH Elentec Việt Nam," Hạn nộp hồ sơ: 31/01/2023
","
Thoả thuận
",1 người,Toàn thời gian,Nhân viên,Nam,2 năm,"Hà Nội,Mê Linh",,"- Quản trị và bảo trì hệ thống mạng ,máy tính, Camera, ERP,- Xử lý hệ thống chấm công, Máy in
,- Xử lý hệ thống Server, Hệ thống tổng đài, Mail server …
,- Support các công việc khác.
,- Công việc cụ thể sẽ trao đổi khi phỏng vấn,
,
,- Kinh nghiệm : 0 - 2 năm
,- Tốt nghiệp Cao đẳng trở lên
,- Nhanh nhẹn, nhiệt tình trong công việc,
,- Lương, thưởng hấp dẫn xứng đáng với năng lực (Thỏa thuận)
,- Đóng BHXH, BHYT, BHTN, theo quy định Nhà nước
,- Hỗ trợ xe đưa đón từ trung tâm Hà Nội về công ty và ngược lại
,- Hỗ trợ ăn trưa, ăn ca
,- Lương tăng định kỳ hàng năm
,- Được làm việc trong môi trường năng động, chuyên nghiệp và hiện đại"
Lập Trình Web,Công ty TNHH giải pháp phần mềm BLACKWIND," Hạn nộp hồ sơ: 19/01/2023
 ","
10-20 triệu
",3 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hồ Chí Minh,Tân Bình,Hà Nội,Ba Đình",,"- Phát triển dự án ERP của công ty và khách hàng theo yêu cầu của cấp trên,- Bảo trì, nâng cấp phần mềm, ứng dụng của công ty theo yêu cầu,- Phối hợp chặt chẽ với các bộ phận liên quan để đưa ra phương án phát triển phù hợp với sản phẩm/dịch vụ,-Báo cáo và tổng hợp kết quả công việc,- Các công việc khác theo sự phân công của quản lý,- Có tối thiểu 06 tháng kinh nghiệm lập trình,- Thành thạo NodeJs, ReactJS,- Thành thạo các framework như Loopback, Express là một lợi thế,- Sử dụng tốt RESTful APIs.,- Có kiến thức về SQL, MySQL, PostgreSQL,- Ưu tiên ứng viên có kinh nghiệm dự án ERP,- Có kiến thức về tối ưu hóa trang web (thời gian tải, kích thước trang),- Tư duy hệ thống, logic tốt, tìm hiểu công nghệ mới nhanh chóng,- Nhiệt tình, có trách nhiệm trong công việc, kỹ năng teamwork tốt,- Mức lương từ :10 - 20 triệu,- Có cơ hội tham gia các khóa đào tạo, phát triển, nâng cao năng lực làm việc,- Được đóng BHXH, BHYT, BHTN theo quy định của nhà nước,- Được đi du lịch, team building ít nhất 1 lần/năm,- Lương tháng 13,- Được hưởng các quyền lợi khác theo chính sách của công ty và quy định của nhà nước"
Lập Trình Viên Mobile,Trackify," Hạn nộp hồ sơ: 31/01/2023
","
Thoả thuận
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Thanh Xuân",,"- Phát triển các ứng dụng về Hệ thống quản lý kho, quản lý tài sản, hàng hóa,… ,- Tham gia các công đoạn tìm hiểu yêu cầu, phân tích, thiết kế, nghiên cứu công nghệ khi được phân công.,- Sử dụng android native phát triển ứng dụng cho di động, biết Flutter là lợi thế, ,- Có kinh nghiệm về lập trình ứng dụng mobile, đặc biệt Android native, Flutter, React…,- Có kinh nghiệm làm việc với JSON REST API, GIT, Docker, ...,- Có kinh nghiệm lập trình tương tác với các CSDL: MySQL, Elasticsearch, Kafka, ... là một lợi thế,- Có kinh nghiệm lập trình các ứng dụng chạy trên nền tảng nhúng (màn hình thông minh android) là một lợi thế.,- Có kinh nghiệm lập trình các ứng dụng tích hợp với các thiết bị IOT qua bluethooth là một lợi thế,- Đã có dự án trên App Store, Google Play là một điểm cộng.,- Sử dụng tốt các công cụ như: Trello, Git, SVN,...,- Có khả năng chủ động trong công việc, phối hợp nhóm cũng như làm việc độc lập tốt.,- Tư duy xử lý vấn đề tốt, cẩn thận, kiên nhẫn, sẵn sàng học hỏi kiến thức, công nghệ mới.,- Mức lương: upto 30M, thỏa thuận theo năng lực. ,- Lương tháng 13 và thưởng cuối năm.,- Chính sách BHXH, BHYT và các phúc lợi khác theo đúng quy định của Luật lao động và của Công ty.,- Được tham gia các dự án lớn, tiếp cận với nhiều công nghệ mới.,- Môi trường làm việc thân thiện, năng động. ,- Du lịch, team building hàng năm, ăn uống hàng tháng.,- Du lịch/nghỉ mát cùng công ty hàng năm., "
Quản Trị Hệ Thống,Công Ty Cổ Phần VCCorp," Hạn nộp hồ sơ: 28/02/2023
","
10-20 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Thanh Xuân",,"Làm việc với hệ thống chạy Linux, Unix.,Triển khai, vận hành quản trị hệ thống máy chủ dịch vụ.,Cài đặt, cấu hình, quản lý và đưa ra các giải pháp tối ưu về hệ thống lớn web, database…,Vận hành, giám sát và theo dõi hệ thống để đảm bảo hoạt động ổn định 24/7.,Nghiên cứu các giải pháp công nghệ mới để tối ưu và mở rộng hệ thống đảm bảo yêu cầu kinh doanh.,Triển khai các giải pháp đảm bảo ATTT cho toàn bộ hệ thống.,Từ 6 tháng kinh nghiệm liên quan,Tốt nghiệp đại học chuyên ngành CNTT hoặc liên quan;,Thành thạo, am hiểu về hệ thống Linux (CentOS/Ubuntu),Có kiến thức nền tảng liên quan đến Network ( TCP/UDP, DNS, NAT ... ),Có kinh nghiệm thực tế về hệ thống web (nginx,apache...), databases (MySQL, MongoDB, PostgreSQL,...),Có kinh nghiệm thực tế về triển khai VMware, OpenStack, ,Có kiến thức về triển khai Docker, Kubernetes, ...,Có kiến thức về các giải pháp cho hệ thống sẵn sàng cao (High Avaiability, Clustering),Ưu tiên:,Có kinh nghiệm thực tế về Docker, Kubernetes,Có kinh nghiệm thực tế triển khai tối ưu NoSQL/SQL database,Có kinh nghiệm xây dựng hệ thống với tính sẵn sàng cao, chịu tải với lượng request lớn.,Lập trình thành thạo một trong các ngôn ngữ python, nodejs,,Có kinh nghiệm thực tế về một trong các automation tools chef, salt, ansible.,Thưởng đạt, vượt chỉ tiêu KPI/Thưởng năng suất: Xét thưởng áp dụng khi nhân viên đạt chỉ tiêu KPI cá nhân và hoặc tùy thuộc vào tình hình kết quả kinh doanh của công ty.,Thưởng tháng lương 13 (thưởng Tết  m Lịch): Xét thưởng định kỳ cuối năm căn cứ theo quy định của công ty và tùy thuộc vào tình hình kết quả kinh doanh của công ty.,Thưởng thâm niên: Xét thưởng định kỳ cuối năm căn cứ theo thâm niên làm việc của nhân viên theo quy định của công ty và hoặc tùy thuộc vào tình hình kết quả kinh doanh của công ty.,Thưởng Nóng, Thưởng thành tích vượt trội: Khi có thành tích xuất sắc và hoặc dự án thành công…,Thưởng vinh danh, tôn vinh: Bình chọn giải cá nhân/bộ phận xuất sắc cấp Công ty định kỳ hàng năm,Thưởng Tự Khoe cấp Bộ Phận: Khuyến khích CBNV, các bộ phận thi đua hoàn thành tốt các mục tiêu công việc, kích thích đổi mới, sáng tạo trong công việc; ghi nhận, động viên kịp thời các việc hay, sáng kiến hiệu quả của các các nhân, tập thể. Mức thưởng tự khoe, tự đề xuất theo quy chế và ngân sách của công ty cấp cho từng bộ phận.,ĐIỀU CHỈNH LƯƠNG:,Xem xét điều chỉnh lương khi cần thiết trong quá trình làm việc hoặc khi có thành tích vượt trội (không giới hạn số lần tăng lương trong năm). Các tiêu chí xét điều chỉnh lương: ,Thời gian làm việc thực tế,Kết quả đánh giá hiệu quả công việc của cá nhân và bộ phận theo KPI,Năng lực/đóng góp của bản thân,CÁC CHẾ ĐỘ PHÚC LỢI:,Môi trường và điều kiện làm việc:,Trang thiết bị làm việc công nghệ cao, phong phú, đa dạng.,Văn phòng làm việc hiện đại, chuyên nghiệp, an toàn.,Môi trường trẻ trung, năng động, sáng tạo.,Đồ uống, đồ ăn nhẹ tại văn phòng.,Các sự kiện hoạt động văn hóa nhân dịp lễ, tết:,Hoạt động kỉ niệm ngày thành lập công ty VCCorp,Hoạt động kỉ niệm và tặng quà sinh nhật CBCNV,Hoạt động kỉ niệm các ngày lễ, tết: ngày Quốc Tế Phụ Nữ 8/3, ngày Phụ Nữ Việt Nam 20/10, ngày Lễ Giáng Sinh, Tết Dương Lịch, Tết Trung Thu, Tết Thiếu Nhi…,Hội diễn và tiệc tổng kết Sum Up cuối năm,Giải bóng đá thường niên,Cuộc thi hoa hậu Miss VC thường niên,Radio Mõ Làng, chương trình phát thanh truyền thông nội bộ,Các hoạt động liên hoan team building theo nhóm, khối, bộ phận…,Chương trình chăm sóc sức khỏe toàn diện VC Health Care,Thăm khám sức khỏe định kỳ hàng năm tại các bệnh viện cao cấp,Được tham gia các hoạt động trải nghiệm tư vấn chăm sóc sức khỏe từ các chuyên gia y tế, do công ty tổ chức theo hình thức các kênh trực tuyến và trực tiếp tại văn phòng.,Chế độ nghỉ dưỡng và phúc lợi:,Chế độ nghỉ mát (theo quy chế của công ty).,Chế độ nghỉ phép (12 ngày nghỉ phép/năm theo quy định của Luật Lao Động).,Chế độ Hiếu, Hỉ, Sinh Con.,QUY TRÌNH TUYỂN DỤNG:,Xét chọn hồ sơ đạt phỏng vấn,Phỏng vấn trực tiếp"
Tester,CÔNG TY TNHH RAKUS VIỆT NAM," Hạn nộp hồ sơ: 14/01/2023
","
Tới 2,100 USD
",4 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hồ Chí Minh,Quận 12",,"Là một Tester của Rakus VN, bạn sẽ chịu trách nhiệm đảm bảo chất lượng phần mềm & sản phẩm Web Application của chúng tôi, thực hiện nhiệm vụ kiểm tra như sau:,- Lập kế hoạch kiểm thử, test case chi tiết và tiến hành kiểm thử phần mềm,- Thực hiện test, log lỗi và theo dõi tiến độ fix bug,- Test hồi quy và smoke test,- Quản lý và theo dõi vòng đời các vấn đề trong hệ thống,- Kiểm soát chất lượng đảm bảo hệ thống/sản phẩm được tạo đúng như thiết kế,- Cải tạo/cập nhật các test cases hiện có để tăng hiệu quả và độ tin cậy,- Phối hợp chặt chẽ nhóm lập trình PHP và JAVA để đảm bảo chất lượng sản phẩm,- Báo các với QC Project Manager, tương tác với các Quản lý dự án để hiểu sản phẩm và các tính năng của chúng.,Lưu ý: Không tuyển người nước ngoài.,Có từ 3 năm kinh nghiệm trong Test manual,• Có kiến thức tốt / kinh nghiệm về quá trình kiểm thử và kỹ thuật Kiểm thử,(test chức năng, phi chức năng, thành phần, tích hợp, độ tin cậy, hồi quy, chấp nhận người dùng, tải, tress, kiểm tra hiệu suất, tốc độ),• Có các kỹ năng kiểm thử (viết test cases, thực hiện Testcases, phát hiện lỗi, kiểm tra lỗi),• Khả năng làm việc độc lập và cẩn thận, tỉ mỉ,• Khả năng tự quản lý và quản lý thời gian tốt, kỹ năng giải quyết vấn đề tốt,• Có tinh thần trách nhiệm,• Kỹ năng giao tiếp tốt,Ưu tiên:,• Có kiến thức automation testing hoặc nền tảng về chuyên môn IT, ,1). Lương và Thưởng,-  Lương tháng 13+14,- 100 % lương trong thời gian thử việc,- Tăng lương và trả Bonus 2 lần/năm,2). Thời giờ làm việc, nghỉ ngơi,- Thứ 2 - thứ 6, từ 8:30- 17:30,- 12 ngày phép năm + 10 ngày nghỉ lễ lịch VN + 7 ngày nghỉ lễ lịch Nhật = 29 ngày,- Hầu như Không làm thêm giờ (No Overtime),3). Đào tạo,- Cơ hội được cử đi Nhật đào tạo,- Các kỹ sư người Nhật hỗ trợ OJT (on the job training),- Training kỹ năng mềm theo level,- Seminar kỹ thuật hàng tháng,4). Giải thưởng,- Yearly MVP – 2 đến 3 bạn Nhân viên xuất sắc mỗi năm được trải nghiệm và làm việc tại Nhật 1 tuần.,- Quarterly MVP – Giải thưởng Nhân viên xuất sắc của Quý,- Giải thưởng nhân viên 5 năm,..,5). Phúc lợi chăm sóc sức khỏe thể chất, tinh thần,- Bảo Hiểm xã hội đóng trên Full lương Hợp đồng,- Du lịch Công ty hàng năm (3 ngày 2 đêm), tài trợ 50% chi phí tour cho gia đình nhân viên,- Nhiều event suốt năm: ngày phụ nữ, ngày nam nhân, ngày Thiếu nhi,Trung thu, Giáng sinh,,Tiệc cuối năm, teambuilding hàng quý, Các hoạt động với gia đình nhân viên, Tiệc sinh nhật hàng tháng ...,- Tham gia chương trình bảo hiểm sức khỏe cá nhân PVI,- Tham gia các CLB thể thao (Futsal, Badminton),- Khám sức khỏe định kỳ."
"
C/C++ Application Engineer (600$ - 2000$)
","Toshiba Software Development (Vietnam) Co., Ltd."," Hạn nộp hồ sơ: 15/01/2023
","
550-2,000 USD
",10 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Ba Đình",,"Investigate & gather knowledge of new technologies & new industrial business domain to determine software solution and/or conduct domain-specific software engineering.,Responsible for implementing, customizing, maintaining & debugging software solution.,Contribute to test plan & test design; Responsible for developing & executing unit test cases if required.,Responsible for product review on work done by team mates,Contribute in system integration, fixing of bugs reported by customer or testing team.,Conduct training & coaching junior members in software engineering development if required.,Bachelor degree or equivalent in Electronic & Telecommunication, Computer Science, Information Technology or related fields.,Hand-on experience (at least 06 months in a row) in software development, maintenance and debugging with C/C ++ application at a professional level, using STL, pointer, multi-threading, multi-process, data structure, socket programming, etc.,Hand-on experiences & knowledge in OOP (experience about OOAD is a plus),Firm knowledge of computer science & software engineering,Good at English, mainly focus on reading & writing,Having programming experience on Linux is an advantage.,Have knowledge & experience with SOLID principle, design pattern such as singleton, abstract factory,Understanding/experiences in development process is an advantage.,Team working, open minded, long-term commitment & self-motivated;,Very good inter-personal and communication skills with customers and project members;,Adapt quickly with new domain, ready to work & study new technologies;,Able to work under high pressure.,Japanese: motivation to learn Japanese. JLPT N4 or higher is a plus.,Salary: 550$ - 2000$,High Remuneration Package (up to 15 months salary) and Full Social, Medical & Unemployment Insurance,Work in well - equipped and professional IT environment and IT community;,To be trained and/or instructed by Japanese Specialists in Vietnam as well as in Japan and others;,Become member of a giant corporation;,Many opportunity to work/study core technology of Toshiba (including OJT long term in Japan) ;"
Lập Trình Viên,CÔNG TY TNHH SOFT WORLD VIỆT NAM," Hạn nộp hồ sơ: 31/01/2023
","
Trên 12 triệu
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hồ Chí Minh,Tân Bình,Thừa Thiên Huế,TP Huế","HTML,JQuery,LESS,SASS,CSS3,VueJS,ReactJS,Angular","Được làm trong môi trường trẻ, năng động, và thường xuyên tiếp xúc và hợp tác với các khách hàng nước ngoài,Được bố trí công tác đi lại giữa các chi nhánh: HCM và Huế hoặc làm việc onsite,Mức lương phù hợp với năng lực bản thân, review theo hiệu quả công việc,Thưởng theo dự án, thưởng thành tích, thưởng tháng lương thứ 13,Văn phòng công ty chuyên nghiệp, bố trí phong cách, sử dụng trà, café, đồ ăn vặt FREE tại công ty.,BHXH và BHYT & Tất cả các quyền lợi theo luật lao động.,Tham gia nhiều hoạt động như: Company Trip hằng năm; Sinh nhật hàng tháng, Bánh trái, hoạt động cuối tuần, team building...,Hỗ trợ các hoạt động xây dựng phát triển bản thân, lộ trình thăng tiến cho từng vị trí,Thời gian làm việc: Thứ 2 - Thứ 6"
PHP Developer,BSS Group," Hạn nộp hồ sơ: 15/01/2023
","
Tới 2,000 USD
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,Hà Nội,PHP,"BSS là nhà cung cấp sản phẩm và giải pháp Top 3 thế giới trên nền tảng Magento thuộc Adobe Commerce.,BSS sở hữu bộ sản phẩm B2B Top 1 thế giới trên nền tảng Magento & Shopify,BSS sở hữu nhiều nhân sự là chuyên gia về lĩnh vực thương mại điện tử và là đối tác chiến lược của Adobe Commerce."
Magento Developer,BSS Group," Hạn nộp hồ sơ: 15/01/2023
","
Tới 1,500 USD
",3 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Nam Từ Liêm","Magento,PHP,Magento 2","Tham gia các dự án xây dựng, phát triển website thương mại điện tử trên nền tảng Magento.,Phối hợp với team phát triển và các bộ phận liên quan để đảm bảo project được thực hiện đúng yêu cầu, đảm bảo chất lượng và deadline.,Xây dựng, phát triển các phần mềm mở rộng (extension) trên nền tảng Magento.,Hỗ trợ khách hàng cài đặt, sử dụng các sản phẩm.,Tham gia vào quá trình update, maintain sản phẩm.,Các công việc khác theo yêu cầu.,Độ tuổi: 22 - 30. Có ít nhất 1-3 năm kinh nghiệm lập trình Magento.,Có kinh nghiệm về Magento 2, KnockOut Js, Varnish, Redis, Solr, Elastic search.,Có kiến thức/kinh nghiệm về PWA, Magento Cloud, Optimize website, server management là 1 lợi thế.,Ưu tiên cho ứng viên có chứng chỉ Magento.,Có thể đọc hiểu tài liệu Tiếng Anh.,Lương: , (trao đổi trực tiếp khi phỏng vấn), ,Thời gian làm việc 5 ngày 1 tuần, từ 8h30 đến 17h45 (không làm thứ Bảy, Chủ Nhật).,Có 13.5 ngày nghỉ phép/năm (12 ngày nghỉ phép theo quy định và 1.5 ngày nghỉ phép du lịch hàng năm)  và các phúc lợi khác theo quy định của pháp luật.,Làm việc tại một trong những công ty Magento hàng đầu tại Việt Nam cung cấp giải pháp thương mại toàn diện cho khách hàng quốc tế, đơn vị đầu tiên trên thế giới vừa là Select Extension Builder vừa là Business Solution Partner của Magento.,Làm việc với 100% khách hàng nước ngoài.,Được đào tạo về PHP, Magento và các nền tảng thương mại điện tử bởi Magento Solution Specialist, Magento Certified Developer có nhiều năm kinh nghiệm .,Quy trình development, quản lý dự án, phát triển sản phẩm chuyên nghiệp (Agile, Scrum, GIT, hệ thống validate code tự động...).,Được tham gia thường xuyên các buổi training, test năng lực về các kiến thức chuyên môn, kỹ năng tiếng Anh và các kỹ năng làm việc khác...,Môi trường làm việc trẻ trung (95% là 9x), làm hết sức, chơi hết mình. Cơ hội tham gia vào các câu lạc bộ: bóng đá, chạy bộ ...,Tham gia các chương trình team building, dã ngoại, sinh nhật thành viên, du lịch, từ thiện… do BSS tổ chức thường xuyên.,Luôn có sẵn trà và cafe free tại công ty. Và 1 tủ đủ loại đồ uống để anh em có thể lấy lại hứng khởi làm việc bất cứ khi nào"
Angular,Công ty CP ứng dụng và dịch vụ công nghệ cao - ASTEC," Hạn nộp hồ sơ: 14/01/2023
","
10-30 triệu
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Ba Đình",,"1. Tham gia phát triển các dự án của công ty trên nền tảng .NET, sử dụng công nghệ nhận dạng ký tự quang học, mặt người, vân tay, sinh trắc học…,2. Tham gia vào quá trình phân tích và thiết kế hệ thống:,- Hệ thống phần mềm cho khối Chính Phủ, Quân đội, Công an, Ngân hàng…,- Hệ thống kiểm soát bãi đỗ xe,- Hệ thống kiểm soát ra vào, an ninh tòa nhà, cơ quan..,- Hệ thống camera an ninh, giám sát,- Hệ thống kiểm soát bán vé khu dịch vụ, vui chơi…,- Phần mềm quản lý,- Phần mềm trên thiết bị di động,3. Triển khai và đào tạo, hướng dẫn phần mềm cho khách hàng,4. Nghiên cứu, đề xuất và triển khai các giải pháp kỹ thuật giúp nâng cấp chất lượng dịch vụ.,5. Nghiên cứu các công nghệ mới,- Thành thạo, C#, asp. Net hoặc net core hoặc .net winform.
,- Có kiến thức và tư duy lập trình hướng đối tượng (OOP);
,- Hiểu nguyên lý lập trình hướng đối tượng
,- Có khả năng lập trình ứng dụng Winform hoặc Webform hoặc Mobile App
,- Có kiến thức về hệ quản trị cơ sở dữ liệu SQL hoặc Oracle…,- Mức thu nhập :, tùy vào trình độ đáp ứng + phụ cấp hàng tháng , trao đổi kỹ khi tham gia phỏng vấn;
,- Được xét nâng lương 1 năm 1 lần; tăng lương trước thời hạn đối với nhân viên có thành tích tốt;
,- Thưởng lương tháng 13, thưởng năm theo hiệu quả kinh doanh và dựa trên đánh giá năng lực của từng nhân viên;
,- Môi trường làm việc chuyên nghiệp, có cơ hội thăng tiến và học hỏi đặc biệt dành cho các bạn trẻ, môi trường năng động theo tiêu chuẩn ISO, đồng nghiệp dễ mến và hòa đồng;
,- Team building, sinh hoạt công đoàn theo tháng/ quý/ năm, hoạt động thể thao nội bộ hàng tuần, tổ chức giải nội bộ và giao hữu thường niên ( câu lạc bộ bóng đá ASTEC COR );,- Chế độ cho nhân viên chính thức, ctv vào các dịp Lễ, Tết, sinh nhật và nhiều chính sách phúc lợi khác;
,- Chế độ bảo hiểm đầy đủ theo quy định của Luật Lao động Việt Nam (BHXH, BHYT, BHTN…);,
,
,
,
,
,
,
"
